antecedents,consequents,support,confidence,lift
"citrus fruit, other vegetables",root vegetables,0.010371123538383325,0.3591549295774648,3.295045459323103
"other vegetables, tropical fruit",root vegetables,0.012302999491611592,0.34277620396600567,3.144779819035136
beef,root vegetables,0.017386883579054397,0.3313953488372093,3.0403668431100312
"citrus fruit, root vegetables",other vegetables,0.010371123538383325,0.5862068965517241,3.0296084222733612
"root vegetables, tropical fruit",other vegetables,0.012302999491611592,0.5845410628019324,3.020999134344196
"other vegetables, whole milk",root vegetables,0.023182511438739197,0.30978260869565216,2.84208204899416
"curd, whole milk",yogurt,0.010066090493136757,0.3852140077821012,2.761355514968633
"rolls/buns, root vegetables",other vegetables,0.012201321809862735,0.502092050209205,2.5948898128258175
"root vegetables, yogurt",other vegetables,0.012913065582104729,0.5,2.5840777719390435
"tropical fruit, whole milk",yogurt,0.015149974580579562,0.3581730769230769,2.5675161891679745
"whipped/sour cream, yogurt",other vegetables,0.010167768174885612,0.4901960784313725,2.5334095803323953
"other vegetables, whipped/sour cream",yogurt,0.010167768174885612,0.352112676056338,2.524073009485484
"other vegetables, tropical fruit",yogurt,0.012302999491611592,0.34277620396600567,2.4571457478175405
"root vegetables, whole milk",other vegetables,0.023182511438739197,0.47401247401247404,2.4497701954349353
"whipped/sour cream, whole milk",yogurt,0.010879511947127605,0.3375394321766561,2.419606643919397
"citrus fruit, whole milk",yogurt,0.010269445856634469,0.33666666666666667,2.4133503401360543
onions,other vegetables,0.014234875444839857,0.45901639344262296,2.372268118501417
"pork, whole milk",other vegetables,0.010167768174885612,0.45871559633027514,2.370713552237654
"whipped/sour cream, whole milk",other vegetables,0.014641586171835282,0.4542586750788643,2.3476794899635474
curd,yogurt,0.01728520589730554,0.3244274809160305,2.325615360648076
"pip fruit, whole milk",other vegetables,0.013523131672597865,0.44932432432432434,2.3221779977560324
berries,yogurt,0.010574478901881037,0.3180428134556575,2.279847718904075
"curd, yogurt",whole milk,0.010066090493136757,0.5823529411764706,2.27912502048173
root vegetables,other vegetables,0.047381799694966954,0.43470149253731344,2.2466049285887952
"butter, other vegetables",whole milk,0.011489578037620742,0.5736040609137055,2.2448849737709087
